,Year,State,Aggravated Assault,All Other Offenses (except traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc."
0,2011,National,314952,2844915,9265,235515,61336,466390,963568,1211288,427013,12859,56100,131998,6667,0,0,1024933,402112,775,52827,8666,90512,45257,15858,85172,54732,993608,74362,1152,23118,190759,121366
1,2012,National,314551,2806813,9380,230997,59274,445091,1025830,1247777,410582,12833,54443,124752,6142,0,0,1048192,361826,936,55951,8897,87290,44809,15266,84204,55316,973429,79541,1285,22086,184741,120762
2,2013,National,305315,2730774,8515,205997,48344,392741,1001465,1288463,391520,12883,49444,115247,5105,0,0,1028591,345354,854,73152,8586,89828,42284,15534,79569,46364,910144,75615,857,21652,164013,113716
3,2014,National,298789,2613454,7590,192163,42242,352405,892438,1252950,332888,13064,45851,113302,4459,0,0,1009975,256857,881,55109,8490,80958,37814,17021,76181,44409,882956,71709,1079,21975,159850,112860
4,2015,National,304086,2634107,7170,176289,35902,320769,873892,1196442,335621,12957,45076,109394,3710,1,0,951985,214291,895,62360,9133,78542,33072,18523,76582,41586,883284,72113,1313,20155,155336,116869
5,2016,National,316530,2727197,8191,173096,27721,310564,847645,1302382,309673,13536,47397,108386,2999,3,0,883379,195292,980,70684,9942,76470,31148,19465,79278,41997,899346,78966,1045,20143,162616,130237
6,2017,National,342286,3025556,7735,180514,24433,292100,835195,1472365,301449,14262,48138,114636,2659,374,251,855654,182989,1068,82146,10699,77806,31317,21933,83276,42104,955481,82898,730,18864,162479,140726
7,2018,National,324936,2736099,7589,149174,17730,272116,798701,1356959,270874,12242,42359,101709,2745,542,86,750993,143231,979,74676,10034,74703,24810,20790,72482,38248,881600,78788,452,18633,149374,137432
8,2019,National,327775,2818698,7238,146420,11650,236501,755331,1282161,243119,11850,38275,100543,2207,528,273,736211,135180,1090,71140,9605,65296,22785,20501,67918,35558,872979,72871,1192,16875,145783,127298
9,2020,National,302187,1796951,7301,120262,8417,162287,575746,894383,139912,7426,24567,64882,1380,340,163,508181,79347,1131,67095,9938,42769,12895,16895,54945,25535,732073,65658,245,10234,131200,127306
