Year,Year,State,Aggravated Assault,All Other Offenses (except traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc."
0,2011,OR,3064,20733,264,2578,852,10230,15013,19342,0,34,771,1664,1,0,0,20765,13698,13,1231,69,591,376,229,938,1148,13587,409,0,0,4660,1747
1,2012,OR,2895,19739,260,2624,1156,10458,14316,19936,0,38,754,1802,3,0,0,22316,12907,16,1447,90,565,450,225,1152,1162,13265,519,0,11,4285,1767
2,2013,OR,1298,10180,106,1024,411,3499,7059,10687,0,19,347,929,0,0,0,8245,3856,4,603,31,278,49,75,295,330,5171,299,0,1,2161,884
3,2014,OR,1992,15471,139,1415,526,6215,8535,14398,0,27,377,1618,0,0,0,14290,8052,10,1003,45,290,244,141,626,597,7863,381,0,2,2745,1426
4,2015,OR,2329,19232,169,1554,494,5953,10496,13007,0,30,404,1463,0,1,0,13245,5885,4,1070,48,360,137,136,517,545,7889,446,0,1,2932,1438
5,2016,OR,2951,49717,228,1816,535,7012,14939,14824,0,45,609,1892,1,0,0,17257,5086,10,1569,77,349,264,162,846,546,10720,600,0,5,4208,1836
6,2017,OR,2896,45377,225,1529,500,6803,14121,16230,18,51,686,1996,0,6,2,14707,3894,10,2001,71,408,312,207,749,461,10569,626,0,22,4095,2170
7,2018,OR,3554,49933,301,1981,361,7021,14549,15731,29,73,722,2190,1,1,0,15958,3278,21,2112,60,384,252,281,913,414,11734,676,0,3,4054,2440
8,2019,OR,3938,50948,314,2039,289,7617,13522,14999,28,99,752,2295,1,2,0,16812,2950,24,2181,56,377,140,298,899,505,11810,620,0,2,4047,2381
9,2020,OR,3655,33166,423,2152,200,5955,9950,9088,2,58,487,1303,1,0,0,12161,1799,21,1968,68,273,47,203,914,324,9968,598,0,13,3837,2105
