,Year,State,Aggravated Assault,All Other Offenses (except traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc."
0,2011,WA,3988,41460,211,4192,60,3897,12680,14210,41,58,1003,792,5,0,0,22236,6001,9,892,114,597,280,541,1276,693,21480,2096,2,34,4931,1720
1,2012,WA,5112,48927,205,4827,25,3416,31185,13522,39,57,1155,901,3,0,0,26730,5645,12,1023,140,620,433,465,1752,666,24118,2611,1,132,5009,1849
2,2013,WA,5268,57296,175,5235,7,3535,29152,11360,30,78,1005,931,0,0,0,29477,4591,17,1235,125,449,389,453,1870,599,25744,3142,0,132,5635,1852
3,2014,WA,5249,54746,211,5016,12,3275,26972,11144,12,66,1006,995,0,0,0,29495,3924,10,1257,141,456,547,488,1868,677,26366,3450,0,140,5142,1744
4,2015,WA,5373,64011,188,4912,5,3045,24683,11056,41,58,843,942,4,0,0,27498,3269,5,1386,156,365,434,508,1831,627,26348,3157,17,103,5250,1777
5,2016,WA,5536,56735,160,4866,3,2429,23246,11052,22,62,887,1008,0,0,0,23824,2507,8,1516,110,282,526,499,1669,644,24406,3364,0,82,5009,1711
6,2017,WA,5932,58492,173,4774,0,2485,25646,12201,81,52,894,1086,1,3,1,21545,2248,8,1639,168,358,614,572,1915,567,25587,3515,8,130,5266,1805
7,2018,WA,6253,60671,180,4545,11,2583,28206,11882,83,61,747,1210,7,16,0,20701,1792,10,1604,170,268,217,596,1851,604,25974,3446,3,130,5033,1912
8,2019,WA,6189,63475,187,4106,6,2751,28830,12313,92,39,734,1299,3,31,23,20382,1689,8,1285,137,342,399,596,1894,546,26827,3167,10,175,4801,1980
9,2020,WA,6022,44320,236,4540,8,1867,22125,8173,68,23,467,913,1,15,1,15816,994,19,1390,186,242,210,521,1716,476,23689,3051,18,167,4904,1697
